Stock Quotes for TWX,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-07-12,61.75,61.9,61.12,61.7,6059000,57.83
2013-07-15,61.61,61.79,61.3,61.42,4426800,57.57
2013-07-16,61.37,61.88,60.76,61.29,3724700,57.45
2013-07-17,61.49,61.79,61.21,61.63,2815000,57.77
2013-07-18,61.85,62.43,61.77,62.25,4421100,58.35
2013-07-19,61.91,62.42,61.53,61.77,3801600,57.9
2013-07-22,61.91,62.47,61.82,62.22,2643000,58.32
2013-07-23,62.06,62.92,62.06,62.84,3745200,58.9
2013-07-24,62.85,62.95,61.99,62.3,3182400,58.39
2013-07-25,62.26,62.78,62.09,62.71,3308200,58.78
2013-07-26,62.54,63.05,62.4,63.02,2751200,59.07
2013-07-29,62.84,62.86,62.32,62.5,2966100,58.58
2013-07-30,62.81,62.84,61.91,62.07,3391700,58.18
2013-07-31,62.17,62.88,61.89,62.26,4155700,58.36
2013-08-01,63.04,63.54,62.86,63.06,3839200,59.11
2013-08-02,63.13,64.5,63.07,64.29,5568100,60.26
2013-08-05,64.14,64.72,64.09,64.47,3538200,60.43
2013-08-06,64.42,64.6,63.46,64.08,5193400,60.06
2013-08-07,65.61,66.01,63.77,63.84,9928600,59.84
2013-08-08,64.24,64.5,63.1,63.94,6767100,59.93
2013-08-09,63.7,64.49,63.31,63.4,4183100,59.42
2013-08-12,63.13,63.8,62.98,63.33,3004200,59.36
2013-08-13,63.54,63.57,62.66,63.1,2806800,59.14
2013-08-14,63.11,63.11,62.26,62.32,4243000,58.41
2013-08-15,61.96,62.12,60.57,61.21,5288300,57.37
2013-08-16,60.92,61.53,60.78,60.86,4113500,57.04
2013-08-19,60.72,61.26,60.07,60.85,3553100,57.03
2013-08-20,60.93,61.98,60.58,61.88,4137100,58
2013-08-21,61.62,61.93,61.13,61.26,4055600,57.42
2013-08-22,61.38,62.56,61.19,62.37,3356400,58.46
2013-08-23,62.34,62.8,62.17,62.36,2680300,58.45
2013-08-26,62.37,62.89,62.08,62.09,2614900,58.2
2013-08-27,61.33,62.05,61.08,61.51,3896600,57.65
2013-08-28,61.29,61.37,60.8,60.98,3947700,57.42
2013-08-29,60.75,61.61,60.51,61,2362700,57.44
2013-08-30,61.1,61.12,60.26,60.53,3242200,57
2013-09-03,61.38,61.96,61,61.36,4050500,57.78
2013-09-04,61.51,62.3,61.37,61.99,3554100,58.38
2013-09-05,61.88,62.26,61.48,61.58,2506700,57.99
2013-09-06,61.87,61.98,60.88,61.45,2620900,57.87
2013-09-09,61.43,62.41,61.43,62.24,3103600,58.61
2013-09-10,62.44,63,62.44,62.94,2843900,59.27
2013-09-11,62.85,63.62,62.85,63.32,3056000,59.63
2013-09-12,63.32,63.68,62.73,62.8,4028500,59.14
2013-09-13,62.91,63.04,62.46,62.56,5831600,58.91
2013-09-16,63.29,63.62,62.5,62.72,4106300,59.06
2013-09-17,62.91,63.44,62.63,62.9,3537200,59.23
2013-09-18,62.95,63.61,62.65,63.34,4223400,59.65
2013-09-19,64.38,64.78,63.92,64.4,8225000,60.64
2013-09-20,64.3,64.83,64.19,64.3,9304000,60.55
2013-09-23,63.97,64,63.42,63.46,3939700,59.76
2013-09-24,63.44,63.73,63.12,63.35,4111900,59.66
2013-09-25,63.37,64.17,63.21,63.97,4681300,60.24
2013-09-26,63.91,64.91,63.81,64.87,3495700,61.09
2013-09-27,64.61,66.34,64.49,66.2,7185200,62.34
2013-09-30,65.78,66.38,65.67,65.81,4876700,61.97
2013-10-01,65.83,66.68,65.65,66.68,3812900,62.79
2013-10-02,66.24,66.37,65.51,66.36,5051700,62.49
2013-10-03,66.24,66.32,64.91,65.29,3093500,61.48
2013-10-04,65.33,66.64,65.33,66.46,3093400,62.58
2013-10-07,65.34,66.5,65.31,65.7,3289100,61.87
2013-10-08,65.62,65.65,64.97,65.02,4429400,61.23
2013-10-09,65.31,65.6,64.2,64.61,4876700,60.84
2013-10-10,65.23,67.38,65.19,67.32,7055700,63.39
2013-10-11,67.09,68.42,66.96,67.92,5367100,63.96
2013-10-14,67.41,68.29,67.39,68.04,5654800,64.07
2013-10-15,68.06,68.26,67.24,67.47,4009200,63.54
2013-10-16,67.87,68.77,67.7,68,4085100,64.03
2013-10-17,67.94,68.02,67.49,67.95,4170900,63.99
2013-10-18,68.24,68.93,68.01,68.73,4614600,64.72
2013-10-21,68.84,69.24,68.77,68.91,2876100,64.89
2013-10-22,69.19,70.06,68.94,69.73,4545900,65.66
2013-10-23,69.65,70.06,69.46,69.84,3145100,65.77
2013-10-24,70.31,70.52,70.12,70.31,3637400,66.21
2013-10-25,70.29,70.58,69.88,70.26,3181200,66.16
2013-10-28,70.13,70.69,70,70.16,3566600,66.07
2013-10-29,70.44,70.49,69.86,70.07,2471400,65.98
2013-10-30,70.12,70.35,67.86,68.54,5846400,64.54
2013-10-31,68.66,69.48,68.23,68.74,5601500,64.73
2013-11-01,68.94,69.35,68.31,68.81,3971500,64.8
2013-11-04,68.98,69,68.25,68.67,2771100,64.67
2013-11-05,68.39,68.45,67.64,68.23,6295100,64.25
2013-11-06,67.46,70.77,67.35,67.69,9836400,63.74
2013-11-07,67.64,68.01,65.22,65.38,8221400,61.57
2013-11-08,65.65,67.86,65.02,67.65,7127000,63.71
2013-11-11,67.52,68.06,67.24,67.5,3343300,63.56
2013-11-12,67.46,67.51,66.59,66.79,3461400,62.9
2013-11-13,66.44,67.69,66.15,67.69,3952600,63.74
2013-11-14,67.9,68.59,67.65,68.4,3968200,64.41
2013-11-15,68.26,68.72,67.45,67.64,4501800,63.7
2013-11-18,67.31,67.78,66.68,66.85,3053900,62.95
2013-11-19,66.95,67.35,66.2,66.28,3940300,62.41
2013-11-20,66.56,66.56,65.63,65.72,4637600,61.89
2013-11-21,66.28,67.21,65.76,66.95,4815200,63.05
2013-11-22,67.13,67.28,66.64,66.99,3927200,63.08
2013-11-25,67.12,67.34,66.46,66.63,2981300,62.74
2013-11-26,66.72,66.76,65.16,65.74,7385300,62.17
2013-11-27,66.19,66.44,65.36,65.64,3399400,62.08
2013-11-29,65.72,66.46,65.64,65.71,2488100,62.15
2013-12-02,65.66,66.01,64.87,65.61,5755700,62.05
2013-12-03,65.63,65.66,64.88,65.46,4948800,61.91
2013-12-04,64.88,65.94,64.73,65.44,4431900,61.89
2013-12-05,65.43,65.9,65.2,65.59,3657700,62.03
2013-12-06,65.94,66.72,65.53,66.57,3556600,62.96
2013-12-09,66.5,66.62,65.39,65.49,6741700,61.94
2013-12-10,65.5,66.94,65.48,66.61,5981700,63
2013-12-11,66.75,66.97,66.2,66.42,5311600,62.82
2013-12-12,66.24,66.48,65.67,65.82,3855600,62.25
2013-12-13,65.93,66.08,65.48,65.55,3770300,61.99
2013-12-16,66.08,66.49,65.8,66.32,2862200,62.72
2013-12-17,66.22,66.39,65.4,65.8,4076700,62.23
2013-12-18,66.04,67.64,65.46,67.6,4378200,63.93
2013-12-19,67.35,67.99,67.08,67.9,4206600,64.22
2013-12-20,68,68.9,68,68.34,7735800,64.63
2013-12-23,68.54,68.94,68.25,68.69,3631900,64.96
2013-12-24,68.69,69.48,68.66,69.4,1345300,65.64
2013-12-26,69.5,70.08,69.47,70,2292300,66.2
2013-12-27,70,70.1,69.2,69.64,2261500,65.86
2013-12-30,69.86,70.01,69.43,69.67,2655000,65.89
2013-12-31,69.67,70.06,69.52,69.72,3275400,65.94
2014-01-02,69.47,69.56,68.41,68.73,4937800,65
2014-01-03,68.79,69.28,68.54,68.67,2615200,64.95
2014-01-06,68.91,68.98,67.71,68.16,3730500,64.46
2014-01-07,68.3,68.34,67.27,67.5,5257500,63.84
2014-01-08,67.26,67.43,65.8,66.76,8785200,63.14
2014-01-09,66.7,66.86,66.04,66.29,4954400,62.69
2014-01-10,66.41,66.47,66,66.19,7184900,62.6
2014-01-13,65.98,66.26,65.27,65.47,5873700,61.92
2014-01-14,65.52,65.76,65.16,65.33,5560400,61.79
2014-01-15,65.25,65.38,64.77,65.14,7730000,61.61
2014-01-16,64.81,65.18,64.59,64.95,5157900,61.43
2014-01-17,65.18,65.26,64.19,64.4,6084500,60.91
2014-01-21,64.5,64.84,63.82,64.55,6321600,61.05
2014-01-22,64.6,65.98,64.57,65.76,6382400,62.19
2014-01-23,65.02,65.73,64.47,64.64,6944800,61.13
2014-01-24,64.22,64.38,63.05,63.32,7760200,59.89
2014-01-27,63.53,63.68,62.38,62.88,6674300,59.47
2014-01-28,63.25,63.44,62.6,63.14,4871600,59.72
2014-01-29,62.55,63.03,62.08,62.32,7902000,58.94
2014-01-30,62.96,64.26,62.86,63.4,8509200,59.96
2014-01-31,62.83,63.53,62.49,62.83,10000800,59.42
2014-02-03,62.83,62.89,61.39,61.52,9249600,58.18
2014-02-04,61.98,62.81,61.64,62.4,7514400,59.02
2014-02-05,62.2,63.72,60.72,63.09,10325700,59.67
2014-02-06,63.44,63.56,62.37,63.29,8014500,59.86
2014-02-07,63.7,64.62,63.44,63.91,5743500,60.44
2014-02-10,63.4,64.26,63.31,63.65,6385200,60.2
2014-02-11,63.52,65.09,63.45,64.84,6903100,61.32
2014-02-12,64.63,65.22,64.63,65.06,4738900,61.53
2014-02-13,64.9,65.36,64.46,64.6,5536000,61.1
2014-02-14,64.42,65.87,64.29,65.3,4365300,61.76
2014-02-18,65.24,65.85,65.06,65.3,3631200,61.76
2014-02-19,65.48,65.59,64.52,64.62,5420900,61.11
2014-02-20,64.74,65.2,64.44,64.98,5416500,61.46
2014-02-21,64.9,64.96,64.66,64.73,5845800,61.22
2014-02-24,64.96,65.28,64.8,65.01,5599400,61.48
2014-02-25,64.9,65.25,64.53,64.78,4047400,61.27
2014-02-26,64.7,64.75,64.14,64.69,8126500,61.48
2014-02-27,64.38,65.87,64.04,65.77,6687700,62.51
2014-02-28,66.29,67.63,65.67,67.13,7817600,63.8
2014-03-03,66.72,67.14,66.1,66.47,4849300,63.17
2014-03-04,67.15,67.7,66.98,66.98,6076700,63.66
2014-03-05,67.21,68.8,66.98,68.48,6989200,65.09
2014-03-06,68.57,69.02,68.55,68.93,6133800,65.51
2014-03-07,69.23,69.33,68.11,68.3,6767300,64.91
2014-03-10,68.19,68.69,67.66,68.53,5701000,65.13
2014-03-11,69.01,69.01,67.51,67.68,5650100,64.32
2014-03-12,67.29,67.69,66.75,67.26,5422500,63.93
2014-03-13,67.47,67.75,66.29,66.69,6563500,63.38
2014-03-14,66.66,67.09,66.5,66.58,3510100,63.28
2014-03-17,66.84,67.09,66.54,66.67,3479600,63.36
2014-03-18,66.82,67.83,66.74,67.2,3067200,63.87
2014-03-19,67.36,67.65,66.79,67.08,3608000,63.75
2014-03-20,66.83,67.1,66.34,66.5,4114500,63.2
2014-03-21,67.19,67.41,66.24,66.34,6393800,63.05
2014-03-24,66.48,66.6,64.96,65.33,3968800,62.09
2014-03-25,65.56,65.91,64.63,65.55,6690400,62.3
2014-03-26,65.77,66,64.63,64.65,4995400,61.44
2014-03-27,64.25,64.25,63.27,63.47,7610200,60.32
2014-03-28,63.83,65.01,63.61,64.65,4870700,61.44
2014-03-31,64.86,65.51,64.62,65.33,5624400,62.09
2014-04-01,65.71,66.15,65.62,66.03,4855600,62.76
2014-04-02,66.23,67.17,66.02,67.06,5626000,63.74
2014-04-03,67.22,67.61,66.72,66.75,4916600,63.44
2014-04-04,67.29,67.69,66.42,66.51,4057200,63.21
2014-04-07,66.22,66.25,64.1,64.79,8201600,61.58
2014-04-08,64.7,65.35,63.96,65.26,6894400,62.02
2014-04-09,65.56,66.12,65.06,66,4839800,62.73
2014-04-10,65.88,65.93,63.5,63.57,9165700,60.42
2014-04-11,63.26,63.8,62.74,62.76,9955700,59.65
2014-04-14,63.41,63.49,62.65,63.02,5452000,59.9
2014-04-15,63.22,63.51,62.44,63.28,5969600,60.14
2014-04-16,64,64.49,63.57,64.49,7815400,61.29
2014-04-17,64.29,65.42,64.28,65.15,6003800,61.92
2014-04-21,65.12,65.64,64.54,65.05,4153400,61.83
2014-04-22,65.03,65.23,64.84,64.92,3836600,61.7
2014-04-23,65.38,67.19,65.38,66,7202400,62.73
2014-04-24,66.11,66.36,65.4,65.64,4325500,62.39
2014-04-25,65.7,65.99,64.56,65.2,4169200,61.97
2014-04-28,65.68,65.85,64.36,65.08,5757000,61.85
2014-04-29,65.25,65.51,64.55,64.74,6208500,61.53
2014-04-30,64.04,68.89,63.42,66.46,15013600,63.17
2014-05-01,67.16,67.63,66.49,66.87,5760000,63.55
2014-05-02,66.87,66.89,66.12,66.2,4229900,62.92
2014-05-05,65.95,67.76,65.64,67.47,4782900,64.13
2014-05-06,67.39,68.09,67.08,67.49,6889500,64.14
2014-05-07,67.83,67.96,67.17,67.82,6257300,64.46
2014-05-08,67.59,68.68,67.59,68.04,5302100,64.67
2014-05-09,68.15,68.61,67.45,68.37,5003200,64.98
2014-05-12,68.9,69.63,68.77,69.44,5273300,66
2014-05-13,69.96,70.22,69.03,69.17,7025200,65.74
2014-05-14,69.24,69.54,68.74,68.95,4864600,65.53
2014-05-15,68.71,68.79,67.53,68.5,5643000,65.1
2014-05-16,68.48,68.98,67.82,68.89,6305100,65.47
2014-05-19,68.63,70.55,68.51,70.11,7957300,66.63
2014-05-20,69.89,70.17,68.41,69.21,8413900,65.78
2014-05-21,69.58,70.09,69.14,70.06,6247300,66.89
2014-05-22,70.08,70.24,69.78,69.97,3039100,66.81
2014-05-23,70.2,70.82,69.84,70.68,2532600,67.49
2014-05-27,70.79,71.4,70.45,70.59,3670800,67.4
2014-05-28,70.64,70.95,70.12,70.67,3386400,67.48
2014-05-29,71.13,71.3,69.9,70.31,5612300,67.13
2014-05-30,70.26,70.61,68.7,69.83,5640900,66.67
2014-06-02,70.05,71.21,70.05,70.75,3605900,67.55
2014-06-03,70.41,70.81,70.25,70.75,3319300,67.55
2014-06-04,70.56,70.67,70.23,70.51,2998200,67.32
2014-06-05,70.66,71.55,70.37,70.88,6150300,67.68
2014-06-06,71.42,71.62,68.01,71.08,4717700,67.87
2014-06-09,68.26,69.39,68.15,68.99,6082200,68.71
2014-06-10,68.9,69.29,68.55,69.09,5191100,68.8
2014-06-11,68.74,69.21,68.53,68.92,5000800,68.64
2014-06-12,68.93,69.11,67.97,68.37,6296400,68.09
2014-06-13,68.58,68.76,67.78,67.84,5691400,67.56
2014-06-16,67.77,68.58,67.6,68.52,3671700,68.24
2014-06-17,67.94,68.46,67.69,68.22,5164500,67.94
2014-06-18,68.19,69.39,68.19,69.27,5455900,68.98
2014-06-19,69.43,69.71,68.12,69.35,5213300,69.06
2014-06-20,68.41,69.04,67.93,68.3,10372100,68.02
2014-06-23,68.28,68.4,67.7,68.19,6208700,67.91
2014-06-24,68.32,68.71,67.95,68.24,7315800,67.96
2014-06-25,68.01,69.34,67.85,69.07,7755900,68.78
2014-06-26,69.33,69.53,68.75,69.4,4046600,69.11
2014-06-27,69.4,70,69.29,69.74,7530700,69.45
2014-06-30,69.85,70.27,69.56,70.25,5371000,69.96
