Stock Quotes for JNJ,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,105.15,106,104.99,105.87,5129200,105.16
2014-07-02,105.7,105.97,105.3,105.86,3764900,105.15
2014-07-03,105.87,106.25,105.11,105.42,4199100,104.71
2014-07-07,105.42,106.74,105.27,106.47,7014900,105.75
2014-07-08,106.21,106.25,105.52,105.72,6268400,105.01
2014-07-09,106,106.21,105.72,106.04,5720900,105.33
2014-07-10,105.08,106,104.52,105.8,4955100,105.09
2014-07-11,105.84,106.01,104.86,105.1,5461000,104.39
2014-07-14,105.38,105.49,105.11,105.38,7784800,104.67
2014-07-15,105.23,105.47,102.77,103.28,14219700,102.59
2014-07-16,103.53,103.67,101.95,102.22,11946800,101.53
2014-07-17,101.9,102.1,100.26,100.37,11218900,99.7
2014-07-18,100.67,101.96,100.37,101.8,8408400,101.12
2014-07-21,101.44,101.58,101.02,101.27,6379900,100.59
2014-07-22,101.91,102.54,101.78,102.47,6554100,101.78
2014-07-23,102.8,102.93,101.88,102.19,4815300,101.5
2014-07-24,102.34,102.73,102.02,102.2,5177200,101.51
2014-07-25,102.27,102.4,101.8,102.11,3951500,101.42
2014-07-28,101.89,102.4,101.66,102.11,4634800,101.42
2014-07-29,102.45,102.51,101.69,101.96,6053900,101.27
2014-07-30,102.27,102.85,101.81,102.3,5994800,101.61
2014-07-31,101.77,101.84,100.05,100.09,9141500,99.42
2014-08-01,99.76,100.41,98.8,99.9,8610700,99.23
2014-08-04,99.99,100.38,99.32,100.16,6790800,99.49
2014-08-05,99.83,100.24,99.55,99.82,6230900,99.15
2014-08-06,99.67,100.83,99.6,100.71,7412100,100.03
2014-08-07,101.09,101.19,99.58,99.93,7417800,99.26
2014-08-08,100.21,101.15,99.77,101.08,5618400,100.4
2014-08-11,101.62,101.78,101.01,101.16,5703000,100.48
2014-08-12,101,101.22,100.31,100.63,4577700,99.95
2014-08-13,101.15,101.95,101.15,101.74,4563700,101.06
2014-08-14,101.89,102.05,101.5,102.02,5239400,101.33
2014-08-15,102.21,102.44,100.8,101.17,6986000,100.49
2014-08-18,101.92,102.72,101.75,102.7,5979500,102.01
2014-08-19,102.73,102.96,102.02,102.96,5670000,102.27
2014-08-20,102.87,103.3,102.7,103.21,5183000,102.52
2014-08-21,103.33,104.42,103.33,104.19,8357600,103.49
2014-08-22,103.63,104.03,102.97,103.1,5076300,103.1
2014-08-25,103.65,103.81,103.09,103.23,3678200,103.23
2014-08-26,103.47,103.72,103.17,103.44,3512400,103.44
2014-08-27,103.6,103.72,102.91,103.22,4786100,103.22
2014-08-28,102.9,103.19,102.71,102.95,3482200,102.95
2014-08-29,103.1,103.76,103.01,103.73,5287800,103.73
2014-09-02,103.3,103.71,103.02,103.36,4644800,103.36
2014-09-03,103.82,104.1,103.54,103.76,4725800,103.76
2014-09-04,103.99,104.1,103.76,103.84,6147700,103.84
2014-09-05,103.92,104.42,103.34,104.42,5744400,104.42
2014-09-08,104.42,104.58,103.83,104.05,4900300,104.05
2014-09-09,104.4,104.4,103.55,103.8,5999400,103.8
2014-09-10,104.19,105.34,103.96,104.99,7402200,104.99
2014-09-11,104.78,104.89,104.1,104.55,4834100,104.55
2014-09-12,104.54,104.81,103.96,104.58,5929200,104.58
2014-09-15,104.59,104.91,104.35,104.72,4525500,104.72
